縣市別,性別,年齡,婚姻狀況,教育程度,人口數
新北市,女,50~59,未婚,大學及專科,23828
新北市,女,50~59,未婚,碩士以上,5174
新北市,女,50~59,未婚,高中及以下,20347
新北市,女,50~59,非未婚,大學及專科,90254
新北市,女,50~59,非未婚,碩士以上,14620
新北市,女,50~59,非未婚,高中及以下,169074
新北市,女,60~69,未婚,大學及專科,8748
新北市,女,60~69,未婚,碩士以上,1524
新北市,女,60~69,未婚,高中及以下,13231
新北市,女,60~69,非未婚,大學及專科,51019
新北市,女,60~69,非未婚,碩士以上,5228
新北市,女,60~69,非未婚,高中及以下,197559
新北市,男,15~19,未婚,大學及專科,0
新北市,男,15~19,未婚,碩士以上,0
新北市,男,15~19,未婚,高中及以下,83045
新北市,男,15~19,非未婚,大學及專科,0
新北市,男,15~19,非未婚,碩士以上,0
新北市,男,15~19,非未婚,高中及以下,50
新北市,男,20~29,未婚,大學及專科,105948
新北市,男,20~29,未婚,碩士以上,13289
新北市,男,20~29,未婚,高中及以下,112114
新北市,男,20~29,非未婚,大學及專科,5748
新北市,男,20~29,非未婚,碩士以上,697
新北市,男,20~29,非未婚,高中及以下,9481
新北市,男,30~39,未婚,大學及專科,92012
新北市,男,30~39,未婚,碩士以上,21958
新北市,男,30~39,未婚,高中及以下,57725
新北市,男,30~39,非未婚,大學及專科,57800
新北市,男,30~39,非未婚,碩士以上,18627
新北市,男,30~39,非未婚,高中及以下,38940
新北市,男,40~49,未婚,大學及專科,43115
新北市,男,40~49,未婚,碩士以上,8803
新北市,男,40~49,未婚,高中及以下,51287
新北市,男,40~49,非未婚,大學及專科,105334
新北市,男,40~49,非未婚,碩士以上,34482
新北市,男,40~49,非未婚,高中及以下,95263
新北市,男,50~59,未婚,大學及專科,14302
新北市,男,50~59,未婚,碩士以上,2860
新北市,男,50~59,未婚,高中及以下,27243
新北市,男,50~59,非未婚,大學及專科,86822
新北市,男,50~59,非未婚,碩士以上,25318
新北市,男,50~59,非未婚,高中及以下,133507
新北市,男,60~69,未婚,大學及專科,4266
新北市,男,60~69,未婚,碩士以上,854
新北市,男,60~69,未婚,高中及以下,12516
新北市,男,60~69,非未婚,大學及專科,65019
新北市,男,60~69,非未婚,碩士以上,12530
新北市,男,60~69,非未婚,高中及以下,152545
新竹市,女,15~19,未婚,大學及專科,0
新竹市,女,15~19,未婚,碩士以上,0
新竹市,女,15~19,未婚,高中及以下,10342
新竹市,女,15~19,非未婚,大學及專科,0
新竹市,女,15~19,非未婚,碩士以上,0
新竹市,女,15~19,非未婚,高中及以下,29
新竹市,女,20~29,未婚,大學及專科,12084
新竹市,女,20~29,未婚,碩士以上,1542
新竹市,女,20~29,未婚,高中及以下,8581
新竹市,女,20~29,非未婚,大學及專科,1595
新竹市,女,20~29,非未婚,碩士以上,191
新竹市,女,20~29,非未婚,高中及以下,1495
新竹市,女,30~39,未婚,大學及專科,7096
新竹市,女,30~39,未婚,碩士以上,1883
新竹市,女,30~39,未婚,高中及以下,2072
新竹市,女,30~39,非未婚,大學及專科,11812
新竹市,女,30~39,非未婚,碩士以上,3646
新竹市,女,30~39,非未婚,高中及以下,4729
新竹市,女,40~49,未婚,大學及專科,3855
新竹市,女,40~49,未婚,碩士以上,983
新竹市,女,40~49,未婚,高中及以下,1829
新竹市,女,40~49,非未婚,大學及專科,19700
新竹市,女,40~49,非未婚,碩士以上,5429
新竹市,女,40~49,非未婚,高中及以下,10518
新竹市,女,50~59,未婚,大學及專科,1933
新竹市,女,50~59,未婚,碩士以上,518
新竹市,女,50~59,未婚,高中及以下,1356
新竹市,女,50~59,非未婚,大學及專科,11266
新竹市,女,50~59,非未婚,碩士以上,2940
新竹市,女,50~59,非未婚,高中及以下,14382
新竹市,女,60~69,未婚,大學及專科,703
新竹市,女,60~69,未婚,碩士以上,167
新竹市,女,60~69,未婚,高中及以下,948
新竹市,女,60~69,非未婚,大學及專科,5314
新竹市,女,60~69,非未婚,碩士以上,872
新竹市,女,60~69,非未婚,高中及以下,15008
新竹市,男,15~19,未婚,大學及專科,0
新竹市,男,15~19,未婚,碩士以上,0
新竹市,男,15~19,未婚,高中及以下,11432
新竹市,男,15~19,非未婚,大學及專科,0
新竹市,男,15~19,非未婚,碩士以上,0
新竹市,男,15~19,非未婚,高中及以下,9
新竹市,男,20~29,未婚,大學及專科,11004
新竹市,男,20~29,未婚,碩士以上,2434
新竹市,男,20~29,未婚,高中及以下,12248
新竹市,男,20~29,非未婚,大學及專科,727
新竹市,男,20~29,非未婚,碩士以上,207
新竹市,男,20~29,非未婚,高中及以下,1100
新竹市,男,30~39,未婚,大學及專科,7828
新竹市,男,30~39,未婚,碩士以上,3562
新竹市,男,30~39,未婚,高中及以下,4549
新竹市,男,30~39,非未婚,大學及專科,6365
新竹市,男,30~39,非未婚,碩士以上,5562
新竹市,男,30~39,非未婚,高中及以下,3831
新竹市,男,40~49,未婚,大學及專科,3824
新竹市,男,40~49,未婚,碩士以上,1271
新竹市,男,40~49,未婚,高中及以下,3931
新竹市,男,40~49,非未婚,大學及專科,13093
新竹市,男,40~49,非未婚,碩士以上,10485
新竹市,男,40~49,非未婚,高中及以下,7955
新竹市,男,50~59,未婚,大學及專科,1277
新竹市,男,50~59,未婚,碩士以上,384
新竹市,男,50~59,未婚,高中及以下,2122
新竹市,男,50~59,非未婚,大學及專科,10141
新竹市,男,50~59,非未婚,碩士以上,6714
新竹市,男,50~59,非未婚,高中及以下,10708
新竹市,男,60~69,未婚,大學及專科,356
新竹市,男,60~69,未婚,碩士以上,92
新竹市,男,60~69,未婚,高中及以下,947
新竹市,男,60~69,非未婚,大學及專科,7224
新竹市,男,60~69,非未婚,碩士以上,2647
新竹市,男,60~69,非未婚,高中及以下,11442
新竹縣,女,15~19,未婚,大學及專科,0
新竹縣,女,15~19,未婚,碩士以上,0
新竹縣,女,15~19,未婚,高中及以下,13485
新竹縣,女,15~19,非未婚,大學及專科,0
新竹縣,女,15~19,非未婚,碩士以上,0
新竹縣,女,15~19,非未婚,高中及以下,76
新竹縣,女,20~29,未婚,大學及專科,16304
新竹縣,女,20~29,未婚,碩士以上,1551
新竹縣,女,20~29,未婚,高中及以下,11348
新竹縣,女,20~29,非未婚,大學及專科,2668
新竹縣,女,20~29,非未婚,碩士以上,204
新竹縣,女,20~29,非未婚,高中及以下,2739
新竹縣,女,30~39,未婚,大學及專科,8847
新竹縣,女,30~39,未婚,碩士以上,1836
新竹縣,女,30~39,未婚,高中及以下,2666
新竹縣,女,30~39,非未婚,大學及專科,15891
新竹縣,女,30~39,非未婚,碩士以上,3936
新竹縣,女,30~39,非未婚,高中及以下,7025
新竹縣,女,40~49,未婚,大學及專科,4092
新竹縣,女,40~49,未婚,碩士以上,815
新竹縣,女,40~49,未婚,高中及以下,2057
新竹縣,女,40~49,非未婚,大學及專科,23544
新竹縣,女,40~49,非未婚,碩士以上,5227
新竹縣,女,40~49,非未婚,高中及以下,16047
新竹縣,女,50~59,未婚,大學及專科,1618
新竹縣,女,50~59,未婚,碩士以上,380
新竹縣,女,50~59,未婚,高中及以下,1259
新竹縣,女,50~59,非未婚,大學及專科,12503
新竹縣,女,50~59,非未婚,碩士以上,2661
新竹縣,女,50~59,非未婚,高中及以下,21460
新竹縣,女,60~69,未婚,大學及專科,433
新竹縣,女,60~69,未婚,碩士以上,77
新竹縣,女,60~69,未婚,高中及以下,692
新竹縣,女,60~69,非未婚,大學及專科,4402
新竹縣,女,60~69,非未婚,碩士以上,594
新竹縣,女,60~69,非未婚,高中及以下,20346
新竹縣,男,15~19,未婚,大學及專科,0
新竹縣,男,15~19,未婚,碩士以上,0
新竹縣,男,15~19,未婚,高中及以下,14937
新竹縣,男,15~19,非未婚,大學及專科,0
新竹縣,男,15~19,非未婚,碩士以上,0
新竹縣,男,15~19,非未婚,高中及以下,16
新竹縣,男,20~29,未婚,大學及專科,14696
新竹縣,男,20~29,未婚,碩士以上,2559
新竹縣,男,20~29,未婚,高中及以下,17669
新竹縣,男,20~29,非未婚,大學及專科,1247
新竹縣,男,20~29,非未婚,碩士以上,277
新竹縣,男,20~29,非未婚,高中及以下,2199
新竹縣,男,30~39,未婚,大學及專科,10850
新竹縣,男,30~39,未婚,碩士以上,3851
新竹縣,男,30~39,未婚,高中及以下,6962
新竹縣,男,30~39,非未婚,大學及專科,9719
新竹縣,男,30~39,非未婚,碩士以上,6952
新竹縣,男,30~39,非未婚,高中及以下,6102
新竹縣,男,40~49,未婚,大學及專科,4594
新竹縣,男,40~49,未婚,碩士以上,1325
新竹縣,男,40~49,未婚,高中及以下,5119
新竹縣,男,40~49,非未婚,大學及專科,17811
新竹縣,男,40~49,非未婚,碩士以上,10472
新竹縣,男,40~49,非未婚,高中及以下,12212
新竹縣,男,50~59,未婚,大學及專科,1288
新竹縣,男,50~59,未婚,碩士以上,326
新竹縣,男,50~59,未婚,高中及以下,2621
新竹縣,男,50~59,非未婚,大學及專科,13913
新竹縣,男,50~59,非未婚,碩士以上,6274
新竹縣,男,50~59,非未婚,高中及以下,18032
新竹縣,男,60~69,未婚,大學及專科,324
新竹縣,男,60~69,未婚,碩士以上,62
新竹縣,男,60~69,未婚,高中及以下,1142
新竹縣,男,60~69,非未婚,大學及專科,8295
新竹縣,男,60~69,非未婚,碩士以上,2029
新竹縣,男,60~69,非未婚,高中及以下,19342
桃園市,女,15~19,未婚,大學及專科,0
桃園市,女,15~19,未婚,碩士以上,0
桃園市,女,15~19,未婚,高中及以下,48988
桃園市,女,15~19,非未婚,大學及專科,0
桃園市,女,15~19,非未婚,碩士以上,0
桃園市,女,15~19,非未婚,高中及以下,221
桃園市,女,20~29,未婚,大學及專科,69748
桃園市,女,20~29,未婚,碩士以上,4896
桃園市,女,20~29,未婚,高中及以下,46945
桃園市,女,20~29,非未婚,大學及專科,11203
桃園市,女,20~29,非未婚,碩士以上,587
桃園市,女,20~29,非未婚,高中及以下,11573
桃園市,女,30~39,未婚,大學及專科,41511
桃園市,女,30~39,未婚,碩士以上,6673
桃園市,女,30~39,未婚,高中及以下,13470
桃園市,女,30~39,非未婚,大學及專科,64522
桃園市,女,30~39,非未婚,碩士以上,9287
桃園市,女,30~39,非未婚,高中及以下,33963
桃園市,女,40~49,未婚,大學及專科,18692
桃園市,女,40~49,未婚,碩士以上,3517
桃園市,女,40~49,未婚,高中及以下,11355
桃園市,女,40~49,非未婚,大學及專科,78832
桃園市,女,40~49,非未婚,碩士以上,12268
桃園市,女,40~49,非未婚,高中及以下,74094
桃園市,女,50~59,未婚,大學及專科,7914
桃園市,女,50~59,未婚,碩士以上,1638
桃園市,女,50~59,未婚,高中及以下,7531
桃園市,女,50~59,非未婚,大學及專科,45882
桃園市,女,50~59,非未婚,碩士以上,7437
桃園市,女,50~59,非未婚,高中及以下,97052
桃園市,女,60~69,未婚,大學及專科,2407
桃園市,女,60~69,未婚,碩士以上,426
桃園市,女,60~69,未婚,高中及以下,4317
桃園市,女,60~69,非未婚,大學及專科,20791
桃園市,女,60~69,非未婚,碩士以上,2057
桃園市,女,60~69,非未婚,高中及以下,91159
桃園市,男,15~19,未婚,大學及專科,0
桃園市,男,15~19,未婚,碩士以上,0
桃園市,男,15~19,未婚,高中及以下,54365
桃園市,男,15~19,非未婚,大學及專科,0
桃園市,男,15~19,非未婚,碩士以上,0
桃園市,男,15~19,非未婚,高中及以下,53
桃園市,男,20~29,未婚,大學及專科,62003
桃園市,男,20~29,未婚,碩士以上,8169
桃園市,男,20~29,未婚,高中及以下,70658
桃園市,男,20~29,非未婚,大學及專科,5344
桃園市,男,20~29,非未婚,碩士以上,542
桃園市,男,20~29,非未婚,高中及以下,8347
桃園市,男,30~39,未婚,大學及專科,46582
桃園市,男,30~39,未婚,碩士以上,11447
桃園市,男,30~39,未婚,高中及以下,31569
桃園市,男,30~39,非未婚,大學及專科,40996
桃園市,男,30~39,非未婚,碩士以上,13133
桃園市,男,30~39,非未婚,高中及以下,29274
桃園市,男,40~49,未婚,大學及專科,18977
桃園市,男,40~49,未婚,碩士以上,3766
桃園市,男,40~49,未婚,高中及以下,24762
桃園市,男,40~49,非未婚,大學及專科,64270
桃園市,男,40~49,非未婚,碩士以上,20428
桃園市,男,40~49,非未婚,高中及以下,60610
桃園市,男,50~59,未婚,大學及專科,5994
桃園市,男,50~59,未婚,碩士以上,1059
桃園市,男,50~59,未婚,高中及以下,11905
桃園市,男,50~59,非未婚,大學及專科,50638
桃園市,男,50~59,非未婚,碩士以上,13455
桃園市,男,50~59,非未婚,高中及以下,76075
桃園市,男,60~69,未婚,大學及專科,1482
桃園市,男,60~69,未婚,碩士以上,234
桃園市,男,60~69,未婚,高中及以下,4598
桃園市,男,60~69,非未婚,大學及專科,34617
桃園市,男,60~69,非未婚,碩士以上,6183
桃園市,男,60~69,非未婚,高中及以下,77327
澎湖縣,女,15~19,未婚,大學及專科,0
澎湖縣,女,15~19,未婚,碩士以上,0
澎湖縣,女,15~19,未婚,高中及以下,2013
澎湖縣,女,15~19,非未婚,大學及專科,0
澎湖縣,女,15~19,非未婚,碩士以上,0
澎湖縣,女,15~19,非未婚,高中及以下,10
澎湖縣,女,20~29,未婚,大學及專科,3279
澎湖縣,女,20~29,未婚,碩士以上,176
澎湖縣,女,20~29,未婚,高中及以下,2509
澎湖縣,女,20~29,非未婚,大學及專科,516
澎湖縣,女,20~29,非未婚,碩士以上,17
澎湖縣,女,20~29,非未婚,高中及以下,653
澎湖縣,女,30~39,未婚,大學及專科,1964
澎湖縣,女,30~39,未婚,碩士以上,333
澎湖縣,女,30~39,未婚,高中及以下,688
澎湖縣,女,30~39,非未婚,大學及專科,2396
澎湖縣,女,30~39,非未婚,碩士以上,297
澎湖縣,女,30~39,非未婚,高中及以下,1548
澎湖縣,女,40~49,未婚,大學及專科,838
澎湖縣,女,40~49,未婚,碩士以上,213
澎湖縣,女,40~49,未婚,高中及以下,651
澎湖縣,女,40~49,非未婚,大學及專科,2240
澎湖縣,女,40~49,非未婚,碩士以上,455
澎湖縣,女,40~49,非未婚,高中及以下,3497
澎湖縣,女,50~59,未婚,大學及專科,312
澎湖縣,女,50~59,未婚,碩士以上,86
澎湖縣,女,50~59,未婚,高中及以下,469
澎湖縣,女,50~59,非未婚,大學及專科,1219
澎湖縣,女,50~59,非未婚,碩士以上,250
澎湖縣,女,50~59,非未婚,高中及以下,4863
澎湖縣,女,60~69,未婚,大學及專科,81
澎湖縣,女,60~69,未婚,碩士以上,21
澎湖縣,女,60~69,未婚,高中及以下,291
澎湖縣,女,60~69,非未婚,大學及專科,617
澎湖縣,女,60~69,非未婚,碩士以上,58
澎湖縣,女,60~69,非未婚,高中及以下,3859
澎湖縣,男,15~19,未婚,大學及專科,0
澎湖縣,男,15~19,未婚,碩士以上,0
澎湖縣,男,15~19,未婚,高中及以下,2334
澎湖縣,男,15~19,非未婚,大學及專科,0
澎湖縣,男,15~19,非未婚,碩士以上,0
澎湖縣,男,15~19,非未婚,高中及以下,1
澎湖縣,男,20~29,未婚,大學及專科,3122
澎湖縣,男,20~29,未婚,碩士以上,225
澎湖縣,男,20~29,未婚,高中及以下,4440
澎湖縣,男,20~29,非未婚,大學及專科,275
澎湖縣,男,20~29,非未婚,碩士以上,11
澎湖縣,男,20~29,非未婚,高中及以下,457
澎湖縣,男,30~39,未婚,大學及專科,2395
澎湖縣,男,30~39,未婚,碩士以上,433
澎湖縣,男,30~39,未婚,高中及以下,1726
澎湖縣,男,30~39,非未婚,大學及專科,1802
澎湖縣,男,30~39,非未婚,碩士以上,338
澎湖縣,男,30~39,非未婚,高中及以下,1470
澎湖縣,男,40~49,未婚,大學及專科,693
澎湖縣,男,40~49,未婚,碩士以上,173
澎湖縣,男,40~49,未婚,高中及以下,1522
澎湖縣,男,40~49,非未婚,大學及專科,1933
澎湖縣,男,40~49,非未婚,碩士以上,683
澎湖縣,男,40~49,非未婚,高中及以下,3069
澎湖縣,男,50~59,未婚,大學及專科,205
澎湖縣,男,50~59,未婚,碩士以上,52
澎湖縣,男,50~59,未婚,高中及以下,923
澎湖縣,男,50~59,非未婚,大學及專科,1979
澎湖縣,男,50~59,非未婚,碩士以上,498
澎湖縣,男,50~59,非未婚,高中及以下,4400
澎湖縣,男,60~69,未婚,大學及專科,68
澎湖縣,男,60~69,未婚,碩士以上,14
澎湖縣,男,60~69,未婚,高中及以下,414
澎湖縣,男,60~69,非未婚,大學及專科,1316
澎湖縣,男,60~69,非未婚,碩士以上,231
澎湖縣,男,60~69,非未婚,高中及以下,4400
臺中市,女,15~19,未婚,大學及專科,0
臺中市,女,15~19,未婚,碩士以上,0
臺中市,女,15~19,未婚,高中及以下,60107
臺中市,女,15~19,非未婚,大學及專科,0
臺中市,女,15~19,非未婚,碩士以上,0
臺中市,女,15~19,非未婚,高中及以下,194
臺中市,女,20~29,未婚,大學及專科,90193
臺中市,女,20~29,未婚,碩士以上,6837
臺中市,女,20~29,未婚,高中及以下,57125
臺中市,女,20~29,非未婚,大學及專科,12206
臺中市,女,20~29,非未婚,碩士以上,623
臺中市,女,20~29,非未婚,高中及以下,11320
臺中市,女,30~39,未婚,大學及專科,58409
臺中市,女,30~39,未婚,碩士以上,9789
臺中市,女,30~39,未婚,高中及以下,16161
臺中市,女,30~39,非未婚,大學及專科,77111
臺中市,女,30~39,非未婚,碩士以上,10602
臺中市,女,30~39,非未婚,高中及以下,34304
臺中市,女,40~49,未婚,大學及專科,27902
臺中市,女,40~49,未婚,碩士以上,5793
臺中市,女,40~49,未婚,高中及以下,15803
臺中市,女,40~49,非未婚,大學及專科,95855
臺中市,女,40~49,非未婚,碩士以上,15906
臺中市,女,40~49,非未婚,高中及以下,81171
臺中市,女,50~59,未婚,大學及專科,12180
臺中市,女,50~59,未婚,碩士以上,3025
臺中市,女,50~59,未婚,高中及以下,11036
臺中市,女,50~59,非未婚,大學及專科,61090
臺中市,女,50~59,非未婚,碩士以上,11152
臺中市,女,50~59,非未婚,高中及以下,117707
臺中市,女,60~69,未婚,大學及專科,4117
臺中市,女,60~69,未婚,碩士以上,814
臺中市,女,60~69,未婚,高中及以下,6044
臺中市,女,60~69,非未婚,大學及專科,32644
臺中市,女,60~69,非未婚,碩士以上,3690
臺中市,女,60~69,非未婚,高中及以下,112098
臺中市,男,15~19,未婚,大學及專科,0
臺中市,男,15~19,未婚,碩士以上,0
臺中市,男,15~19,未婚,高中及以下,64531
臺中市,男,15~19,非未婚,大學及專科,0
臺中市,男,15~19,非未婚,碩士以上,0
臺中市,男,15~19,非未婚,高中及以下,63
臺中市,男,20~29,未婚,大學及專科,80137
臺中市,男,20~29,未婚,碩士以上,10778
臺中市,男,20~29,未婚,高中及以下,83477
臺中市,男,20~29,非未婚,大學及專科,6077
臺中市,男,20~29,非未婚,碩士以上,648
臺中市,男,20~29,非未婚,高中及以下,8582
臺中市,男,30~39,未婚,大學及專科,61302
臺中市,男,30~39,未婚,碩士以上,15090
臺中市,男,30~39,未婚,高中及以下,36132
臺中市,男,30~39,非未婚,大學及專科,51246
臺中市,男,30~39,非未婚,碩士以上,14523
臺中市,男,30~39,非未婚,高中及以下,31659
臺中市,男,40~49,未婚,大學及專科,23426
臺中市,男,40~49,未婚,碩士以上,4889
臺中市,男,40~49,未婚,高中及以下,32221
臺中市,男,40~49,非未婚,大學及專科,73570
臺中市,男,40~49,非未婚,碩士以上,23486
臺中市,男,40~49,非未婚,高中及以下,72332
臺中市,男,50~59,未婚,大學及專科,7366
臺中市,男,50~59,未婚,碩士以上,1376
臺中市,男,50~59,未婚,高中及以下,16168
臺中市,男,50~59,非未婚,大學及專科,56518
臺中市,男,50~59,非未婚,碩士以上,17338
臺中市,男,50~59,非未婚,高中及以下,95646
臺中市,男,60~69,未婚,大學及專科,1873
臺中市,男,60~69,未婚,碩士以上,357
臺中市,男,60~69,未婚,高中及以下,6540
臺中市,男,60~69,非未婚,大學及專科,41481
臺中市,男,60~69,非未婚,碩士以上,8845
臺中市,男,60~69,非未婚,高中及以下,97380
臺北市,女,15~19,未婚,大學及專科,0
臺北市,女,15~19,未婚,碩士以上,0
臺北市,女,15~19,未婚,高中及以下,43131
臺北市,女,15~19,非未婚,大學及專科,0
臺北市,女,15~19,非未婚,碩士以上,0
臺北市,女,15~19,非未婚,高中及以下,47
臺北市,女,20~29,未婚,大學及專科,66481
臺北市,女,20~29,未婚,碩士以上,6026
臺北市,女,20~29,未婚,高中及以下,40090
臺北市,女,20~29,非未婚,大學及專科,6408
臺北市,女,20~29,非未婚,碩士以上,550
臺北市,女,20~29,非未婚,高中及以下,3605
臺北市,女,30~39,未婚,大學及專科,53266
臺北市,女,30~39,未婚,碩士以上,11659
臺北市,女,30~39,未婚,高中及以下,11227
臺北市,女,30~39,非未婚,大學及專科,61237
臺北市,女,30~39,非未婚,碩士以上,15411
臺北市,女,30~39,非未婚,高中及以下,14437
臺北市,女,40~49,未婚,大學及專科,33039
臺北市,女,40~49,未婚,碩士以上,8838
臺北市,女,40~49,未婚,高中及以下,11371
臺北市,女,40~49,非未婚,大學及專科,100197
臺北市,女,40~49,非未婚,碩士以上,30067
臺北市,女,40~49,非未婚,高中及以下,34532
臺北市,女,50~59,未婚,大學及專科,21066
臺北市,女,50~59,未婚,碩士以上,7075
臺北市,女,50~59,未婚,高中及以下,11741
臺北市,女,50~59,非未婚,大學及專科,76032
臺北市,女,50~59,非未婚,碩士以上,21582
臺北市,女,50~59,非未婚,高中及以下,58490
臺北市,女,60~69,未婚,大學及專科,11772
臺北市,女,60~69,未婚,碩士以上,3079
臺北市,女,60~69,未婚,高中及以下,10388
臺北市,女,60~69,非未婚,大學及專科,65527
臺北市,女,60~69,非未婚,碩士以上,10233
臺北市,女,60~69,非未婚,高中及以下,81880
臺北市,男,15~19,未婚,大學及專科,0
臺北市,男,15~19,未婚,碩士以上,0
臺北市,男,15~19,未婚,高中及以下,46812
臺北市,男,15~19,非未婚,大學及專科,0
臺北市,男,15~19,非未婚,碩士以上,0
臺北市,男,15~19,非未婚,高中及以下,14
臺北市,男,20~29,未婚,大學及專科,61358
臺北市,男,20~29,未婚,碩士以上,9074
臺北市,男,20~29,未婚,高中及以下,52324
臺北市,男,20~29,非未婚,大學及專科,3007
臺北市,男,20~29,非未婚,碩士以上,539
臺北市,男,20~29,非未婚,高中及以下,2411
臺北市,男,30~39,未婚,大學及專科,52898
臺北市,男,30~39,未婚,碩士以上,16502
臺北市,男,30~39,未婚,高中及以下,18918
臺北市,男,30~39,非未婚,大學及專科,36999
臺北市,男,30~39,非未婚,碩士以上,16752
臺北市,男,30~39,非未婚,高中及以下,11659
臺北市,男,40~49,未婚,大學及專科,25466
臺北市,男,40~49,未婚,碩士以上,7670
臺北市,男,40~49,未婚,高中及以下,17708
臺北市,男,40~49,非未婚,大學及專科,71389
臺北市,男,40~49,非未婚,碩士以上,38749
臺北市,男,40~49,非未婚,高中及以下,29173
臺北市,男,50~59,未婚,大學及專科,11553
臺北市,男,50~59,未婚,碩士以上,3674
臺北市,男,50~59,未婚,高中及以下,12756
臺北市,男,50~59,非未婚,大學及專科,63171
臺北市,男,50~59,非未婚,碩士以上,32592
臺北市,男,50~59,非未婚,高中及以下,44727
臺北市,男,60~69,未婚,大學及專科,5260
臺北市,男,60~69,未婚,碩士以上,1790
臺北市,男,60~69,未婚,高中及以下,7440
臺北市,男,60~69,非未婚,大學及專科,65829
臺北市,男,60~69,非未婚,碩士以上,21817
臺北市,男,60~69,非未婚,高中及以下,58169
臺南市,女,15~19,未婚,大學及專科,0
臺南市,女,15~19,未婚,碩士以上,0
臺南市,女,15~19,未婚,高中及以下,34676
臺南市,女,15~19,非未婚,大學及專科,0
臺南市,女,15~19,非未婚,碩士以上,0
臺南市,女,15~19,非未婚,高中及以下,107
臺南市,女,20~29,未婚,大學及專科,54156
臺南市,女,20~29,未婚,碩士以上,4462
臺南市,女,20~29,未婚,高中及以下,32482
臺南市,女,20~29,非未婚,大學及專科,6408
臺南市,女,20~29,非未婚,碩士以上,407
臺南市,女,20~29,非未婚,高中及以下,6145
臺南市,女,30~39,未婚,大學及專科,38794
臺南市,女,30~39,未婚,碩士以上,7116
臺南市,女,30~39,未婚,高中及以下,10401
臺南市,女,30~39,非未婚,大學及專科,41979
臺南市,女,30~39,非未婚,碩士以上,6466
臺南市,女,30~39,非未婚,高中及以下,20259
臺南市,女,40~49,未婚,大學及專科,20136
臺南市,女,40~49,未婚,碩士以上,4027
臺南市,女,40~49,未婚,高中及以下,11339
臺南市,女,40~49,非未婚,大學及專科,57391
臺南市,女,40~49,非未婚,碩士以上,9829
臺南市,女,40~49,非未婚,高中及以下,51569
臺南市,女,50~59,未婚,大學及專科,8475
臺南市,女,50~59,未婚,碩士以上,1864
臺南市,女,50~59,未婚,高中及以下,8428
臺南市,女,50~59,非未婚,大學及專科,33640
臺南市,女,50~59,非未婚,碩士以上,5881
臺南市,女,50~59,非未婚,高中及以下,79376
臺南市,女,60~69,未婚,大學及專科,2561
臺南市,女,60~69,未婚,碩士以上,435
臺南市,女,60~69,未婚,高中及以下,4432
臺南市,女,60~69,非未婚,大學及專科,16533
臺南市,女,60~69,非未婚,碩士以上,1746
臺南市,女,60~69,非未婚,高中及以下,71369
臺南市,男,15~19,未婚,大學及專科,0
臺南市,男,15~19,未婚,碩士以上,0
臺南市,男,15~19,未婚,高中及以下,37818
臺南市,男,15~19,非未婚,大學及專科,0
臺南市,男,15~19,非未婚,碩士以上,0
臺南市,男,15~19,非未婚,高中及以下,36
臺南市,男,20~29,未婚,大學及專科,48853
